model,step,domain,key,partition,eval_key,measure,value
EleutherAI/pythia-160m,0,bookcorpus,halfB,real,halfA,segregation_between_mean,0.06943042458094852
EleutherAI/pythia-160m,0,bookcorpus,halfB,real,halfA,segregation_ratio,2.054904385951989
EleutherAI/pythia-160m,0,bookcorpus,halfB,real,halfA,segregation_modularity,0.012868034055994003
EleutherAI/pythia-160m,0,bookcorpus,halfB,null,halfB,segregation_within_mean,0.07102315621277638
EleutherAI/pythia-160m,0,bookcorpus,halfB,null,halfB,segregation_between_mean,0.06991102298450866
EleutherAI/pythia-160m,0,bookcorpus,halfB,null,halfB,segregation_ratio,1.015907838003088
EleutherAI/pythia-160m,0,bookcorpus,halfB,null,halfB,segregation_modularity,0.0001760561354866815
EleutherAI/pythia-160m,0,bookcorpus,halfB,null,halfA,segregation_within_mean,0.07142548742181445
EleutherAI/pythia-160m,0,bookcorpus,halfB,null,halfA,segregation_between_mean,0.0703240078228132
EleutherAI/pythia-160m,0,bookcorpus,halfB,null,halfA,segregation_ratio,1.0156629241293602
EleutherAI/pythia-160m,0,bookcorpus,halfB,null,halfA,segregation_modularity,0.00017331634710661439
EleutherAI/pythia-160m,0,agnews,halfA,-,halfA,act_firing_rate_median,0.5002390543619791
EleutherAI/pythia-160m,0,agnews,halfA,-,halfA,act_frac_dead,0.0
EleutherAI/pythia-160m,0,agnews,halfA,-,halfA,act_frac_dense,0.5002712673611112
EleutherAI/pythia-160m,0,agnews,halfA,-,halfA,act_firing_rate_gini,0.2500613411404977
EleutherAI/pythia-160m,0,agnews,halfB,-,halfB,act_firing_rate_median,0.5000152587890625
EleutherAI/pythia-160m,0,agnews,halfB,-,halfB,act_frac_dead,0.0
EleutherAI/pythia-160m,0,agnews,halfB,-,halfB,act_frac_dense,0.5000542534722222
EleutherAI/pythia-160m,0,agnews,halfB,-,halfB,act_firing_rate_gini,0.24997244170962407
EleutherAI/pythia-160m,0,agnews,-,-,-,lm_loss,11.040585321189429
EleutherAI/pythia-160m,0,agnews,halfA,-,halfA,dim_participation_ratio,185.53721919070907
EleutherAI/pythia-160m,0,agnews,halfA,-,halfA,dim_top1_share,0.029624449616248015
EleutherAI/pythia-160m,0,agnews,halfA,-,halfA,dim_top10_share,0.17747204313769996
EleutherAI/pythia-160m,0,agnews,halfA,-,halfA,dim_top100_share,0.5182200085184245
EleutherAI/pythia-160m,0,agnews,halfA,-,halfA,dim_n_for_50pct,92.0
EleutherAI/pythia-160m,0,agnews,halfA,-,halfA,dim_n_for_90pct,1538.0
EleutherAI/pythia-160m,0,agnews,halfA,-,halfA,dim_participation_ratio_frac,0.005033019183775745
EleutherAI/pythia-160m,0,agnews,halfA,-,halfA,n_live_units,36864.0
EleutherAI/pythia-160m,0,agnews,halfA,-,halfA,coupling_mean_absr,0.05708507421478335
EleutherAI/pythia-160m,0,agnews,halfA,-,halfA,coupling_median_absr,0.046750787645578384
EleutherAI/pythia-160m,0,agnews,halfA,-,halfA,coupling_p90_absr,0.11871365457773209
EleutherAI/pythia-160m,0,agnews,halfA,-,halfA,coupling_p99_absr,0.2026986077427862
EleutherAI/pythia-160m,0,agnews,halfA,-,halfA,coupling_frac_absr_gt_0.1,0.160483140465024
EleutherAI/pythia-160m,0,agnews,halfA,-,halfA,coupling_frac_absr_gt_0.3,0.0009036233134814878
EleutherAI/pythia-160m,0,agnews,halfA,-,halfA,coupling_concentration_top1pct,0.036864360320604875
EleutherAI/pythia-160m,0,agnews,halfA,-,halfA,hub_strength_gini,0.10415515375611895
EleutherAI/pythia-160m,0,agnews,halfA,-,halfA,hub_strength_cv,0.18935566156038303
EleutherAI/pythia-160m,0,agnews,halfB,-,halfB,dim_participation_ratio,185.77854622416143
EleutherAI/pythia-160m,0,agnews,halfB,-,halfB,dim_top1_share,0.028653189695588478
EleutherAI/pythia-160m,0,agnews,halfB,-,halfB,dim_top10_share,0.17774444103529946
EleutherAI/pythia-160m,0,agnews,halfB,-,halfB,dim_top100_share,0.5181411026677432
EleutherAI/pythia-160m,0,agnews,halfB,-,halfB,dim_n_for_50pct,92.0
