domain,key,step,measure,value
wikitext,halfB,1,similarity_to_final,0.013107448471322815
wikitext,halfB,4,similarity_to_final,0.013192799669971817
wikitext,halfB,16,similarity_to_final,0.015226827288641089
wikitext,halfB,64,similarity_to_final,0.05531487085367661
wikitext,halfB,256,similarity_to_final,0.05999860799521005
wikitext,halfB,1000,similarity_to_final,0.08608852164235116
wikitext,halfB,4000,similarity_to_final,0.259080929778838
wikitext,halfB,16000,similarity_to_final,0.4906430240845442
wikitext,halfB,64000,similarity_to_final,0.7767279103512675
wikitext,halfB,143000,similarity_to_final,1.0
