tree,variant,domain,direction,metric,value
pnull,vmf_ward100,agnews,halfA->halfB,n_clusters,100.0
pnull,vmf_ward100,agnews,halfB->halfA,yardstick_ari,0.009749750259424123
pnull,vmf_ward100,agnews,halfB->halfA,reliability_ari,0.00855359757908885
pnull,vmf_ward100,agnews,halfB->halfA,inertia_ratio,0.9684797305490815
pnull,vmf_ward100,agnews,halfB->halfA,n_iter,48.0
pnull,vmf_ward100,agnews,halfB->halfA,n_clusters,100.0
real,vmf_lloyd100,tldr17,halfA->halfB,yardstick_ari,0.7044537933393752
real,vmf_lloyd100,tldr17,halfA->halfB,reliability_ari,0.5650070143432462
real,vmf_lloyd100,tldr17,halfA->halfB,inertia_ratio,0.993781941349085
real,vmf_lloyd100,tldr17,halfA->halfB,n_iter,12.0
real,vmf_lloyd100,tldr17,halfA->halfB,n_clusters,100.0
real,vmf_lloyd100,tldr17,halfB->halfA,yardstick_ari,0.7230383485931031
real,vmf_lloyd100,tldr17,halfB->halfA,reliability_ari,0.5650070143432462
real,vmf_lloyd100,tldr17,halfB->halfA,inertia_ratio,0.9942097446262208
real,vmf_lloyd100,tldr17,halfB->halfA,n_iter,19.0
real,vmf_lloyd100,tldr17,halfB->halfA,n_clusters,100.0
pnull,vmf_lloyd100,tldr17,halfA->halfB,yardstick_ari,0.02006508155636896
pnull,vmf_lloyd100,tldr17,halfA->halfB,reliability_ari,0.01289957844631622
pnull,vmf_lloyd100,tldr17,halfA->halfB,inertia_ratio,1.0112773810347735
pnull,vmf_lloyd100,tldr17,halfA->halfB,n_iter,26.0
pnull,vmf_lloyd100,tldr17,halfA->halfB,n_clusters,100.0
pnull,vmf_lloyd100,tldr17,halfB->halfA,yardstick_ari,0.01808518954384725
pnull,vmf_lloyd100,tldr17,halfB->halfA,reliability_ari,0.013702332730496333
pnull,vmf_lloyd100,tldr17,halfB->halfA,inertia_ratio,1.0092927725315064
pnull,vmf_lloyd100,tldr17,halfB->halfA,n_iter,37.0
pnull,vmf_lloyd100,tldr17,halfB->halfA,n_clusters,100.0
real,vmf_pca100_lloyd100,tldr17,halfA->halfB,yardstick_ari,0.760427297232113
real,vmf_pca100_lloyd100,tldr17,halfA->halfB,reliability_ari,0.6120576567999904
real,vmf_pca100_lloyd100,tldr17,halfA->halfB,inertia_ratio,0.9959873079908714
real,vmf_pca100_lloyd100,tldr17,halfA->halfB,n_iter,16.0
real,vmf_pca100_lloyd100,tldr17,halfA->halfB,n_clusters,100.0
real,vmf_pca100_lloyd100,tldr17,halfB->halfA,yardstick_ari,0.7695275275686809
real,vmf_pca100_lloyd100,tldr17,halfB->halfA,reliability_ari,0.6120576567999904
real,vmf_pca100_lloyd100,tldr17,halfB->halfA,inertia_ratio,0.9949249408775415
real,vmf_pca100_lloyd100,tldr17,halfB->halfA,n_iter,12.0
real,vmf_pca100_lloyd100,tldr17,halfB->halfA,n_clusters,100.0
pnull,vmf_pca100_lloyd100,tldr17,halfA->halfB,yardstick_ari,0.014292810443027321
