model,domain,task,bos,n_total,n_aligned,clean_accuracy,corrupted_accuracy,both_correct_accuracy,n_both_correct,clean_baseline,corrupted_baseline,passes,base,is_bos,m
openai-community/gpt2,MD,mul_div_2op_verbal,0,1000,840,0.4976190476190476,0.4726190476190476,0.0630952380952381,53,0.6455677320372384,-0.5652643959477263,0,mul_div_2op_verbal,False,gpt2
openai-community/gpt2,MD,mul_div_2op_symbolic,0,1000,956,0.5292887029288703,0.4759414225941422,0.0732217573221757,70,0.3678996086120605,-0.3017348153250558,0,mul_div_2op_symbolic,False,gpt2
openai-community/gpt2,MD,mul_div_3op_verbal,0,1000,992,0.4828629032258064,0.5161290322580645,0.0403225806451612,40,0.7869968414306641,-0.5786112308502197,0,mul_div_3op_verbal,False,gpt2
openai-community/gpt2,MD,mul_div_3op_symbolic,0,1000,993,0.5236656596173213,0.4813695871097684,0.0473313192346425,47,0.3046876217456574,-0.258596399997143,0,mul_div_3op_symbolic,False,gpt2
openai-community/gpt2,MD,simple_equation,0,995,915,0.5092896174863388,0.4994535519125683,0.0371584699453551,34,0.0916431651395909,-0.0927400028004365,0,simple_equation,False,gpt2
openai-community/gpt2,MD,number_sorting,0,1000,1000,0.501,0.507,0.014,14,0.325190680367606,-0.2025117874145507,0,number_sorting,False,gpt2
openai-community/gpt2,MD,code_conditional,0,1000,1000,0.505,0.494,0.001,1,0.0177230834960937,-0.0106277465820312,0,code_conditional,False,gpt2
openai-community/gpt2,MD,code_loop,0,1000,1000,0.539,0.463,0.002,2,0.0037918090820312,-0.0024681091308593,0,code_loop,False,gpt2
openai-community/gpt2,MD,code_list,0,1000,1000,0.493,0.505,0.001,1,0.0289459228515625,-0.0134506225585937,0,code_list,False,gpt2
openai-community/gpt2,MD,code_A,0,1000,1000,0.51,0.493,0.003,3,0.0377321243286132,-0.0314248402913411,0,code_A,False,gpt2
openai-community/gpt2,MD,code_B,0,1000,1000,0.489,0.512,0.001,1,0.0183391571044921,-0.0232582092285156,0,code_B,False,gpt2
openai-community/gpt2,phys,phys_newton,0,1000,1000,0.577,0.578,0.155,155,0.6317701155139553,-0.7065930889498803,0,phys_newton,False,gpt2
openai-community/gpt2,phys,phys_prost,0,1200,1200,0.5691666666666667,0.5658333333333333,0.1391666666666666,167,0.5547692019068552,-0.5798176063035063,0,phys_prost,False,gpt2
openai-community/gpt2,phys,physics_buoyancy,0,1000,951,0.4931650893796004,0.5068349106203995,0.0,0,0.0,0.0,0,physics_buoyancy,False,gpt2
openai-community/gpt2,phys,physics_brightness,0,1000,745,0.512751677852349,0.4966442953020134,0.0496644295302013,37,0.3079116151139542,-0.3424317127949483,0,physics_brightness,False,gpt2
openai-community/gpt2,phys,physics_elasticity,0,1000,690,0.5173913043478261,0.4826086956521739,0.0,0,0.0,0.0,0,physics_elasticity,False,gpt2
openai-community/gpt2,phys,physics_solubility,0,1000,681,0.4860499265785609,0.5139500734214391,0.0,0,0.0,0.0,0,physics_solubility,False,gpt2
openai-community/gpt2,phys,physics_speed,0,1000,768,0.46875,0.4817708333333333,0.1302083333333333,100,0.2349144744873046,-0.2360573577880859,0,physics_speed,False,gpt2
openai-community/gpt2,phys,physics_stability,0,1000,793,0.4842370744010088,0.5157629255989912,0.0,0,0.0,0.0,0,physics_stability,False,gpt2
openai-community/gpt2,phys,physics_temperature,0,1000,629,0.5023847376788553,0.4642289348171701,0.0317965023847376,20,0.250508975982666,-0.2631958484649658,0,physics_temperature,False,gpt2
openai-community/gpt2,ToM,agent,0,945,945,0.5121693121693122,0.4931216931216931,0.1005291005291005,95,1.3602422513459858,-1.1369361676667866,0,agent,False,gpt2
openai-community/gpt2,ToM,social_interactions,0,204,199,0.5728643216080402,0.5477386934673367,0.1256281407035175,25,1.4366777801513673,-1.398723030090332,0,social_interactions,False,gpt2
openai-community/gpt2,ToM,social_relations,0,288,288,0.5694444444444444,0.4513888888888889,0.0555555555555555,16,0.40530925989151,-0.521081268787384,0,social_relations,False,gpt2
openai-community/gpt2,ToM,desires_goals,0,1080,960,0.50625,0.709375,0.215625,207,2.996699678725091,-1.6548892495712797,0,desires_goals,False,gpt2
openai-community/gpt2,ToM,primary_emotions,0,1295,1295,0.2193050193050193,0.8146718146718147,0.0339768339768339,44,0.2879714965820312,-2.3430604934692383,0,primary_emotions,False,gpt2
openai-community/gpt2,ToM,secondary_emotions,0,1600,1525,0.4059016393442623,0.8039344262295082,0.2098360655737705,320,0.8713672161102295,-1.1968083322048186,0,secondary_emotions,False,gpt2
openai-community/gpt2,ToM,emotion_fewshot,0,2000,1893,0.5303750660327522,0.5562599049128367,0.1315372424722662,249,0.3104641925857728,-0.3414634068806966,0,emotion_fewshot,False,gpt2
openai-community/gpt2,ToM,norm_appropriate,0,2000,1958,0.5056179775280899,0.4943820224719101,0.0,0,0.0,0.0,0,norm_appropriate,False,gpt2
openai-community/gpt2,ToM,norm_moral,0,2000,1976,0.4888663967611336,0.5111336032388664,0.0,0,0.0,0.0,0,norm_moral,False,gpt2
Qwen/Qwen3.5-0.8B,Lan,anaphor_gender_agreement_bos,1,1100,1086,0.996316758747698,1.0,0.996316758747698,1082,2.632771035990301,-2.564654523475774,1,anaphor_gender_agreement,True,q35-0.8
Qwen/Qwen3.5-0.8B,Lan,det_noun_agreement_irregular_bos,1,932,932,0.9173819742489272,0.9163090128755365,0.8336909871244635,777,3.292393687148812,-3.295894388833408,1,det_noun_agreement_irregular,True,q35-0.8
Qwen/Qwen3.5-0.8B,Lan,det_noun_agreement_regular_bos,1,1100,1100,0.9354545454545454,0.9390909090909092,0.8754545454545455,963,3.682080618441415,-3.6650053318415847,1,det_noun_agreement_regular,True,q35-0.8
Qwen/Qwen3.5-0.8B,Lan,det_noun_agreement_with_adjective_bos,1,1100,1100,0.899090909090909,0.77,0.6727272727272727,740,3.21296750435958,-3.066064171050046,1,det_noun_agreement_with_adjective,True,q35-0.8
Qwen/Qwen3.5-0.8B,Lan,subject_verb_agreement_bos,1,1100,1095,0.9470319634703196,0.8657534246575342,0.8146118721461187,892,4.25320747761983,-3.9570948454831214,1,subject_verb_agreement,True,q35-0.8
Qwen/Qwen3.5-0.8B,Lan,npi_bos,1,304,304,0.930921052631579,0.9375,0.868421052631579,264,2.790788183383869,-2.860716730130441,1,npi,True,q35-0.8
Qwen/Qwen3.5-0.8B,Lan,hypernymy_bos,1,577,556,0.933453237410072,0.920863309352518,0.85431654676259,475,6.545107601316352,-6.402177037690815,1,hypernymy,True,q35-0.8
Qwen/Qwen3.5-0.8B,Lan,wug_bos,1,2664,2572,0.8316485225505443,0.8316485225505443,0.7083981337480559,1822,3.276645050542626,-3.276645050542626,1,wug,True,q35-0.8
Qwen/Qwen3.5-0.8B,MD,logic_syllogism_1,0,1000,1000,0.491,0.517,0.008,8,1.0197129137814045,-0.8633954487740993,0,logic_syllogism_1,False,q35-0.8
Qwen/Qwen3.5-0.8B,MD,logic_syllogism_symbolic,0,1000,1000,0.453,0.437,0.053,53,0.5948712887629023,-0.5186501370286042,0,logic_syllogism_symbolic,False,q35-0.8
Qwen/Qwen3.5-0.8B,MD,logic_propositional_1,0,1000,1000,0.61,0.628,0.277,277,0.3902499491772497,-0.3748129812819002,0,logic_propositional_1,False,q35-0.8
Qwen/Qwen3.5-0.8B,MD,logic_propositional_symbolic,0,1000,1000,0.488,0.512,0.0,0,0.0,0.0,0,logic_propositional_symbolic,False,q35-0.8
Qwen/Qwen3.5-0.8B,MD,number_sequence,0,946,325,0.3138461538461538,0.3569230769230769,0.0307692307692307,10,1.1893132209777832,-1.343071746826172,0,number_sequence,False,q35-0.8
Qwen/Qwen3.5-0.8B,MD,add_sub_2op_verbal,0,1000,986,0.6257606490872211,0.6014198782961461,0.2697768762677485,266,1.551573828647011,-1.3961258759175923,0,add_sub_2op_verbal,False,q35-0.8
Qwen/Qwen3.5-0.8B,MD,add_sub_2op_symbolic,0,1000,1000,0.935,0.941,0.88,880,6.650661719929088,-6.601263264431195,1,add_sub_2op_symbolic,False,q35-0.8
Qwen/Qwen3.5-0.8B,MD,add_sub_3op_verbal,0,1000,977,0.4974411463664278,0.5220061412487206,0.0767656090071648,75,0.6958190409342447,-0.7898968505859375,0,add_sub_3op_verbal,False,q35-0.8
Qwen/Qwen3.5-0.8B,MD,add_sub_3op_symbolic,0,1000,1000,0.753,0.742,0.541,541,2.8984090642876192,-3.015791131916857,0,add_sub_3op_symbolic,False,q35-0.8
Qwen/Qwen3.5-0.8B,MD,mul_div_2op_verbal,0,1000,840,0.5119047619047619,0.5154761904761904,0.1309523809523809,110,1.437592098929665,-1.5238734418695623,0,mul_div_2op_verbal,False,q35-0.8
Qwen/Qwen3.5-0.8B,MD,mul_div_2op_symbolic,0,1000,979,0.7293156281920327,0.6884576098059244,0.5127681307456589,502,2.988152413016772,-3.050146033208209,0,mul_div_2op_symbolic,False,q35-0.8
Qwen/Qwen3.5-0.8B,MD,mul_div_3op_verbal,0,1000,992,0.4556451612903225,0.5272177419354839,0.0413306451612903,41,0.6940675857590466,-0.7971467913650885,0,mul_div_3op_verbal,False,q35-0.8
Qwen/Qwen3.5-0.8B,MD,mul_div_3op_symbolic,0,1000,1000,0.557,0.556,0.213,213,1.4381401897036414,-1.4445952753505795,0,mul_div_3op_symbolic,False,q35-0.8
Qwen/Qwen3.5-0.8B,MD,simple_equation,0,995,906,0.5419426048565121,0.5154525386313465,0.1379690949227373,125,1.3896966314315795,-1.2676751136779785,0,simple_equation,False,q35-0.8
Qwen/Qwen3.5-0.8B,MD,number_sorting,0,1000,1000,0.766,0.784,0.565,565,4.500572232335014,-4.322803296874055,0,number_sorting,False,q35-0.8
Qwen/Qwen3.5-0.8B,MD,code_conditional,0,1000,1000,0.856,0.848,0.704,704,0.9653910910922356,-0.9534235201056368,1,code_conditional,False,q35-0.8
Qwen/Qwen3.5-0.8B,MD,code_loop,0,1000,1000,0.693,0.643,0.336,336,1.1123896478897048,-1.0360218949970743,0,code_loop,False,q35-0.8
Qwen/Qwen3.5-0.8B,MD,code_list,0,1000,1000,0.759,0.764,0.526,526,1.7861645939873227,-1.8837326604292195,0,code_list,False,q35-0.8
Qwen/Qwen3.5-0.8B,MD,code_A,0,1000,1000,0.714,0.666,0.39,390,1.4528111663957437,-1.7054438067934452,0,code_A,False,q35-0.8
Qwen/Qwen3.5-0.8B,MD,code_B,0,1000,1000,0.619,0.618,0.368,368,2.363132913515944,-2.1534074393263007,0,code_B,False,q35-0.8
Qwen/Qwen3.5-0.8B,phys,phys_newton,0,1000,1000,0.82,0.86,0.68,680,2.143370973494123,-2.100407491662704,1,phys_newton,False,q35-0.8
