model,step,domain,key,tree,measure,value
pythia-70m,4,bookcorpus,halfA,real,size_largest_share,0.037434895833333336
pythia-70m,4,bookcorpus,halfA,real,size_frac_small,0.0
pythia-70m,4,bookcorpus,halfA,real,depth_median_effective_layers,5.860633789479361
pythia-70m,4,bookcorpus,halfA,real,depth_frac_single_layer,0.0
pythia-70m,4,bookcorpus,halfA,real,depth_mean_layer_span,5.81
pythia-70m,16,bookcorpus,halfA,real,crisp_median_max_membership,0.61
pythia-70m,16,bookcorpus,halfA,real,crisp_frac_confident,0.656005859375
pythia-70m,16,bookcorpus,halfA,real,crisp_network_median,0.5824085246702492
pythia-70m,16,bookcorpus,halfA,real,size_n_networks,100.0
pythia-70m,16,bookcorpus,halfA,real,size_effective_n,91.4285884014456
pythia-70m,16,bookcorpus,halfA,real,size_gini,0.22314941406249988
pythia-70m,16,bookcorpus,halfA,real,size_largest_share,0.037516276041666664
pythia-70m,16,bookcorpus,halfA,real,size_frac_small,0.0
pythia-70m,16,bookcorpus,halfA,real,depth_median_effective_layers,5.880017000937238
pythia-70m,16,bookcorpus,halfA,real,depth_frac_single_layer,0.0
pythia-70m,16,bookcorpus,halfA,real,depth_mean_layer_span,5.77
pythia-70m,64,bookcorpus,halfA,real,crisp_median_max_membership,0.56
pythia-70m,64,bookcorpus,halfA,real,crisp_frac_confident,0.608154296875
pythia-70m,64,bookcorpus,halfA,real,crisp_network_median,0.5585098204264871
pythia-70m,64,bookcorpus,halfA,real,size_n_networks,100.0
pythia-70m,64,bookcorpus,halfA,real,size_effective_n,92.72111582825681
pythia-70m,64,bookcorpus,halfA,real,size_gini,0.21712239583333326
pythia-70m,64,bookcorpus,halfA,real,size_largest_share,0.024658203125
pythia-70m,64,bookcorpus,halfA,real,size_frac_small,0.0
pythia-70m,64,bookcorpus,halfA,real,depth_median_effective_layers,5.156682106833498
pythia-70m,64,bookcorpus,halfA,real,depth_frac_single_layer,0.0
pythia-70m,64,bookcorpus,halfA,real,depth_mean_layer_span,4.46
pythia-70m,256,bookcorpus,halfA,real,crisp_median_max_membership,0.58
pythia-70m,256,bookcorpus,halfA,real,crisp_frac_confident,0.6302897135416666
pythia-70m,256,bookcorpus,halfA,real,crisp_network_median,0.5456305343511451
pythia-70m,256,bookcorpus,halfA,real,size_n_networks,100.0
pythia-70m,256,bookcorpus,halfA,real,size_effective_n,90.87661486040392
pythia-70m,256,bookcorpus,halfA,real,size_gini,0.22248209635416671
pythia-70m,256,bookcorpus,halfA,real,size_largest_share,0.037027994791666664
pythia-70m,256,bookcorpus,halfA,real,size_frac_small,0.0
pythia-70m,256,bookcorpus,halfA,real,depth_median_effective_layers,4.7359629783294785
pythia-70m,256,bookcorpus,halfA,real,depth_frac_single_layer,0.0
pythia-70m,256,bookcorpus,halfA,real,depth_mean_layer_span,4.23
pythia-70m,1000,bookcorpus,halfA,real,crisp_median_max_membership,0.63
pythia-70m,1000,bookcorpus,halfA,real,crisp_frac_confident,0.7118326822916666
pythia-70m,1000,bookcorpus,halfA,real,crisp_network_median,0.624015748031496
pythia-70m,1000,bookcorpus,halfA,real,size_n_networks,100.0
pythia-70m,1000,bookcorpus,halfA,real,size_effective_n,91.35891081621246
pythia-70m,1000,bookcorpus,halfA,real,size_gini,0.22519205729166658
pythia-70m,1000,bookcorpus,halfA,real,size_largest_share,0.030517578125
pythia-70m,1000,bookcorpus,halfA,real,size_frac_small,0.0
pythia-70m,1000,bookcorpus,halfA,real,depth_median_effective_layers,4.859910718082968
pythia-70m,1000,bookcorpus,halfA,real,depth_frac_single_layer,0.0
pythia-70m,1000,bookcorpus,halfA,real,depth_mean_layer_span,4.02
pythia-70m,4000,bookcorpus,halfA,real,crisp_median_max_membership,0.67
pythia-70m,4000,bookcorpus,halfA,real,crisp_frac_confident,0.751220703125
pythia-70m,4000,bookcorpus,halfA,real,crisp_network_median,0.6511445832817848
pythia-70m,4000,bookcorpus,halfA,real,size_n_networks,100.0
pythia-70m,4000,bookcorpus,halfA,real,size_effective_n,89.96306587592358
pythia-70m,4000,bookcorpus,halfA,real,size_gini,0.23878580729166665
pythia-70m,4000,bookcorpus,halfA,real,size_largest_share,0.033365885416666664
pythia-70m,4000,bookcorpus,halfA,real,size_frac_small,0.0
pythia-70m,4000,bookcorpus,halfA,real,depth_median_effective_layers,4.489305069540627
pythia-70m,4000,bookcorpus,halfA,real,depth_frac_single_layer,0.04
pythia-70m,4000,bookcorpus,halfA,real,depth_mean_layer_span,3.7
pythia-70m,16000,bookcorpus,halfA,real,crisp_median_max_membership,0.675
pythia-70m,16000,bookcorpus,halfA,real,crisp_frac_confident,0.749267578125
pythia-70m,16000,bookcorpus,halfA,real,crisp_network_median,0.6385417548314289
pythia-70m,16000,bookcorpus,halfA,real,size_n_networks,100.0
pythia-70m,16000,bookcorpus,halfA,real,size_effective_n,89.91897488397522
pythia-70m,16000,bookcorpus,halfA,real,size_gini,0.23641927083333325
pythia-70m,16000,bookcorpus,halfA,real,size_largest_share,0.033772786458333336
pythia-70m,16000,bookcorpus,halfA,real,size_frac_small,0.01
pythia-70m,16000,bookcorpus,halfA,real,depth_median_effective_layers,4.331072073241268
pythia-70m,16000,bookcorpus,halfA,real,depth_frac_single_layer,0.08
pythia-70m,16000,bookcorpus,halfA,real,depth_mean_layer_span,3.6
pythia-70m,64000,bookcorpus,halfA,real,crisp_median_max_membership,0.635
pythia-70m,64000,bookcorpus,halfA,real,crisp_frac_confident,0.703369140625
pythia-70m,64000,bookcorpus,halfA,real,crisp_network_median,0.6185036072389338
pythia-70m,64000,bookcorpus,halfA,real,size_n_networks,100.0
pythia-70m,64000,bookcorpus,halfA,real,size_effective_n,89.1340378290889
pythia-70m,64000,bookcorpus,halfA,real,size_gini,0.25321777343750007
pythia-70m,64000,bookcorpus,halfA,real,size_largest_share,0.033528645833333336
pythia-70m,64000,bookcorpus,halfA,real,size_frac_small,0.0
pythia-70m,64000,bookcorpus,halfA,real,depth_median_effective_layers,4.34511985629567
pythia-70m,64000,bookcorpus,halfA,real,depth_frac_single_layer,0.07
pythia-70m,64000,bookcorpus,halfA,real,depth_mean_layer_span,3.64
pythia-70m,143000,bookcorpus,halfA,real,crisp_median_max_membership,0.635
pythia-70m,143000,bookcorpus,halfA,real,crisp_frac_confident,0.7003580729166666
pythia-70m,143000,bookcorpus,halfA,real,crisp_network_median,0.6065988372093023
pythia-70m,143000,bookcorpus,halfA,real,size_n_networks,100.0
pythia-70m,143000,bookcorpus,halfA,real,size_effective_n,89.08794119520046
pythia-70m,143000,bookcorpus,halfA,real,size_gini,0.24272135416666663
pythia-70m,143000,bookcorpus,halfA,real,size_largest_share,0.044026692708333336
pythia-70m,143000,bookcorpus,halfA,real,size_frac_small,0.0
pythia-70m,143000,bookcorpus,halfA,real,depth_median_effective_layers,4.317536266124327
pythia-70m,143000,bookcorpus,halfA,real,depth_frac_single_layer,0.08
pythia-70m,143000,bookcorpus,halfA,real,depth_mean_layer_span,3.57
pythia-70m,0,agnews,halfA,real,crisp_median_max_membership,0.615
pythia-70m,0,agnews,halfA,real,crisp_frac_confident,0.6664225260416666
pythia-70m,0,agnews,halfA,real,crisp_network_median,0.620250568977591
pythia-70m,0,agnews,halfA,real,size_n_networks,100.0
pythia-70m,0,agnews,halfA,real,size_effective_n,89.1702885420728
pythia-70m,0,agnews,halfA,real,size_gini,0.22525065104166675
pythia-70m,0,agnews,halfA,real,size_largest_share,0.060546875
pythia-70m,0,agnews,halfA,real,size_frac_small,0.0
pythia-70m,0,agnews,halfA,real,depth_median_effective_layers,5.843812748087711
pythia-70m,0,agnews,halfA,real,depth_frac_single_layer,0.0
pythia-70m,0,agnews,halfA,real,depth_mean_layer_span,5.65
pythia-70m,1,agnews,halfA,real,crisp_median_max_membership,0.615
pythia-70m,1,agnews,halfA,real,crisp_frac_confident,0.6664225260416666
pythia-70m,1,agnews,halfA,real,crisp_network_median,0.620250568977591
pythia-70m,1,agnews,halfA,real,size_n_networks,100.0
pythia-70m,1,agnews,halfA,real,size_effective_n,89.1702885420728
pythia-70m,1,agnews,halfA,real,size_gini,0.22525065104166675
pythia-70m,1,agnews,halfA,real,size_largest_share,0.060546875
pythia-70m,1,agnews,halfA,real,size_frac_small,0.0
pythia-70m,1,agnews,halfA,real,depth_median_effective_layers,5.843812748087711
pythia-70m,1,agnews,halfA,real,depth_frac_single_layer,0.0
pythia-70m,1,agnews,halfA,real,depth_mean_layer_span,5.65
pythia-70m,4,agnews,halfA,real,crisp_median_max_membership,0.615
pythia-70m,4,agnews,halfA,real,crisp_frac_confident,0.6646321614583334
pythia-70m,4,agnews,halfA,real,crisp_network_median,0.614745475113122
pythia-70m,4,agnews,halfA,real,size_n_networks,100.0
pythia-70m,4,agnews,halfA,real,size_effective_n,88.18584998371044
pythia-70m,4,agnews,halfA,real,size_gini,0.24053873697916672
pythia-70m,4,agnews,halfA,real,size_largest_share,0.059733072916666664
pythia-70m,4,agnews,halfA,real,size_frac_small,0.01
pythia-70m,4,agnews,halfA,real,depth_median_effective_layers,5.841924823442657
pythia-70m,4,agnews,halfA,real,depth_frac_single_layer,0.0
pythia-70m,4,agnews,halfA,real,depth_mean_layer_span,5.68
pythia-70m,16,agnews,halfA,real,crisp_median_max_membership,0.6
pythia-70m,16,agnews,halfA,real,crisp_frac_confident,0.6392415364583334
pythia-70m,16,agnews,halfA,real,crisp_network_median,0.6015366654045184
pythia-70m,16,agnews,halfA,real,size_n_networks,100.0
pythia-70m,16,agnews,halfA,real,size_effective_n,89.27267532235662
pythia-70m,16,agnews,halfA,real,size_gini,0.22294921874999996
pythia-70m,16,agnews,halfA,real,size_largest_share,0.061360677083333336
pythia-70m,16,agnews,halfA,real,size_frac_small,0.0
pythia-70m,16,agnews,halfA,real,depth_median_effective_layers,5.834362104108463
pythia-70m,16,agnews,halfA,real,depth_frac_single_layer,0.0
pythia-70m,16,agnews,halfA,real,depth_mean_layer_span,5.68
pythia-70m,64,agnews,halfA,real,crisp_median_max_membership,0.595
pythia-70m,64,agnews,halfA,real,crisp_frac_confident,0.6687825520833334
pythia-70m,64,agnews,halfA,real,crisp_network_median,0.587493396226415
pythia-70m,64,agnews,halfA,real,size_n_networks,100.0
pythia-70m,64,agnews,halfA,real,size_effective_n,90.67203820472103
pythia-70m,64,agnews,halfA,real,size_gini,0.234375
pythia-70m,64,agnews,halfA,real,size_largest_share,0.036376953125
pythia-70m,64,agnews,halfA,real,size_frac_small,0.0
pythia-70m,64,agnews,halfA,real,depth_median_effective_layers,5.343470675731658
pythia-70m,64,agnews,halfA,real,depth_frac_single_layer,0.0
pythia-70m,64,agnews,halfA,real,depth_mean_layer_span,4.52
