step,domain,key,tree,measure,value
1000,agnews,halfB,real,selectivity_prefers_punctuation,0.14
1000,agnews,halfB,real,selectivity_prefers_digit,0.04
1000,agnews,halfB,real,selectivity_prefers_function_word,0.21
1000,agnews,halfB,real,selectivity_prefers_content_word,0.4
1000,agnews,halfB,real,selectivity_prefers_continuation,0.13
1000,agnews,halfB,real,selectivity_prefers_other,0.04
1000,agnews,halfB,null,selectivity_coherence_median,0.2197782207258572
1000,agnews,halfB,null,selectivity_frac_coherent,0.0
1000,agnews,halfB,null,selectivity_prefers_whitespace,0.0
1000,agnews,halfB,null,selectivity_prefers_punctuation,0.02
1000,agnews,halfB,null,selectivity_prefers_digit,0.03
1000,agnews,halfB,null,selectivity_prefers_function_word,0.04
1000,agnews,halfB,null,selectivity_prefers_content_word,0.86
1000,agnews,halfB,null,selectivity_prefers_continuation,0.05
1000,agnews,halfB,null,selectivity_prefers_other,0.0
1000,bookcorpus,halfA,real,selectivity_coherence_median,0.4308153942511935
1000,bookcorpus,halfA,real,selectivity_frac_coherent,0.23
1000,bookcorpus,halfA,real,selectivity_prefers_whitespace,0.02
1000,bookcorpus,halfA,real,selectivity_prefers_punctuation,0.18
1000,bookcorpus,halfA,real,selectivity_prefers_digit,0.03
1000,bookcorpus,halfA,real,selectivity_prefers_function_word,0.21
1000,bookcorpus,halfA,real,selectivity_prefers_content_word,0.41
1000,bookcorpus,halfA,real,selectivity_prefers_continuation,0.09
1000,bookcorpus,halfA,real,selectivity_prefers_other,0.06
1000,bookcorpus,halfA,null,selectivity_coherence_median,0.20260625830326606
1000,bookcorpus,halfA,null,selectivity_frac_coherent,0.0
1000,bookcorpus,halfA,null,selectivity_prefers_whitespace,0.0
1000,bookcorpus,halfA,null,selectivity_prefers_punctuation,0.0
1000,bookcorpus,halfA,null,selectivity_prefers_digit,0.08
1000,bookcorpus,halfA,null,selectivity_prefers_function_word,0.06
1000,bookcorpus,halfA,null,selectivity_prefers_content_word,0.84
1000,bookcorpus,halfA,null,selectivity_prefers_continuation,0.02
1000,bookcorpus,halfA,null,selectivity_prefers_other,0.0
1000,bookcorpus,halfB,real,selectivity_coherence_median,0.42832993242173345
1000,bookcorpus,halfB,real,selectivity_frac_coherent,0.21
1000,bookcorpus,halfB,real,selectivity_prefers_whitespace,0.03
1000,bookcorpus,halfB,real,selectivity_prefers_punctuation,0.17
1000,bookcorpus,halfB,real,selectivity_prefers_digit,0.04
1000,bookcorpus,halfB,real,selectivity_prefers_function_word,0.24
1000,bookcorpus,halfB,real,selectivity_prefers_content_word,0.39
1000,bookcorpus,halfB,real,selectivity_prefers_continuation,0.08
1000,bookcorpus,halfB,real,selectivity_prefers_other,0.05
