model,domain,key,tree,network,step,best_jaccard,birth_step
pythia-70m,wikitext,halfA,real,13,4,0.02197802197802198,143000
pythia-70m,wikitext,halfA,real,13,16,0.018691588785046728,143000
pythia-70m,wikitext,halfA,real,13,64,0.02702702702702703,143000
pythia-70m,wikitext,halfA,real,13,256,0.017543859649122806,143000
pythia-70m,wikitext,halfA,real,13,1000,0.02666666666666667,143000
pythia-70m,wikitext,halfA,real,13,4000,0.08875739644970414,143000
pythia-70m,wikitext,halfA,real,13,16000,0.18235294117647058,143000
pythia-70m,wikitext,halfA,real,13,64000,0.2635135135135135,143000
pythia-70m,wikitext,halfA,real,13,143000,1.0,143000
pythia-70m,wikitext,halfA,real,14,0,0.01680672268907563,143000
pythia-70m,wikitext,halfA,real,14,1,0.01680672268907563,143000
pythia-70m,wikitext,halfA,real,14,4,0.018518518518518517,143000
pythia-70m,wikitext,halfA,real,14,16,0.012903225806451613,143000
pythia-70m,wikitext,halfA,real,14,64,0.03164556962025317,143000
pythia-70m,wikitext,halfA,real,14,256,0.0199203187250996,143000
pythia-70m,wikitext,halfA,real,14,1000,0.03409090909090909,143000
pythia-70m,wikitext,halfA,real,14,4000,0.036585365853658534,143000
pythia-70m,wikitext,halfA,real,14,16000,0.10101010101010101,143000
pythia-70m,wikitext,halfA,real,14,64000,0.20121951219512196,143000
pythia-70m,wikitext,halfA,real,14,143000,1.0,143000
pythia-70m,wikitext,halfA,real,15,0,0.01730103806228374,143000
pythia-70m,wikitext,halfA,real,15,1,0.01730103806228374,143000
pythia-70m,wikitext,halfA,real,15,4,0.018255578093306288,143000
pythia-70m,wikitext,halfA,real,15,16,0.021538461538461538,143000
pythia-70m,wikitext,halfA,real,15,64,0.015479876160990712,143000
pythia-70m,wikitext,halfA,real,15,256,0.027586206896551724,143000
pythia-70m,wikitext,halfA,real,15,1000,0.02631578947368421,143000
pythia-70m,wikitext,halfA,real,15,4000,0.028169014084507043,143000
pythia-70m,wikitext,halfA,real,15,16000,0.0781758957654723,143000
pythia-70m,wikitext,halfA,real,15,64000,0.15476190476190477,143000
pythia-70m,wikitext,halfA,real,15,143000,1.0,143000
pythia-70m,wikitext,halfA,real,16,0,0.024509803921568627,64000
pythia-70m,wikitext,halfA,real,16,1,0.024509803921568627,64000
pythia-70m,wikitext,halfA,real,16,4,0.024875621890547265,64000
pythia-70m,wikitext,halfA,real,16,16,0.02262443438914027,64000
pythia-70m,wikitext,halfA,real,16,64,0.025423728813559324,64000
pythia-70m,wikitext,halfA,real,16,256,0.022304832713754646,64000
pythia-70m,wikitext,halfA,real,16,1000,0.02643171806167401,64000
pythia-70m,wikitext,halfA,real,16,4000,0.3333333333333333,64000
pythia-70m,wikitext,halfA,real,16,16000,0.49079754601226994,64000
pythia-70m,wikitext,halfA,real,16,64000,0.6642335766423357,64000
pythia-70m,wikitext,halfA,real,16,143000,1.0,64000
pythia-70m,wikitext,halfA,real,17,0,0.01858736059479554,64000
pythia-70m,wikitext,halfA,real,17,1,0.01858736059479554,64000
pythia-70m,wikitext,halfA,real,17,4,0.01744186046511628,64000
pythia-70m,wikitext,halfA,real,17,16,0.022935779816513763,64000
pythia-70m,wikitext,halfA,real,17,64,0.02711864406779661,64000
pythia-70m,wikitext,halfA,real,17,256,0.028985507246376812,64000
pythia-70m,wikitext,halfA,real,17,1000,0.08376963350785341,64000
pythia-70m,wikitext,halfA,real,17,4000,0.21428571428571427,64000
pythia-70m,wikitext,halfA,real,17,16000,0.3524590163934426,64000
pythia-70m,wikitext,halfA,real,17,64000,0.5221238938053098,64000
pythia-70m,wikitext,halfA,real,17,143000,1.0,64000
pythia-70m,wikitext,halfA,real,18,0,0.02358490566037736,143000
pythia-70m,wikitext,halfA,real,18,1,0.02358490566037736,143000
pythia-70m,wikitext,halfA,real,18,4,0.024154589371980676,143000
pythia-70m,wikitext,halfA,real,18,16,0.018604651162790697,143000
pythia-70m,wikitext,halfA,real,18,64,0.02304147465437788,143000
pythia-70m,wikitext,halfA,real,18,256,0.017467248908296942,143000
pythia-70m,wikitext,halfA,real,18,1000,0.029556650246305417,143000
pythia-70m,wikitext,halfA,real,18,4000,0.03162055335968379,143000
pythia-70m,wikitext,halfA,real,18,16000,0.08045977011494253,143000
pythia-70m,wikitext,halfA,real,18,64000,0.19889502762430938,143000
pythia-70m,wikitext,halfA,real,18,143000,1.0,143000
pythia-70m,wikitext,halfA,real,19,0,0.022082018927444796,143000
pythia-70m,wikitext,halfA,real,19,1,0.022082018927444796,143000
pythia-70m,wikitext,halfA,real,19,4,0.01935483870967742,143000
pythia-70m,wikitext,halfA,real,19,16,0.021212121212121213,143000
pythia-70m,wikitext,halfA,real,19,64,0.02631578947368421,143000
pythia-70m,wikitext,halfA,real,19,256,0.025,143000
pythia-70m,wikitext,halfA,real,19,1000,0.04507042253521127,143000
pythia-70m,wikitext,halfA,real,19,4000,0.0790273556231003,143000
pythia-70m,wikitext,halfA,real,19,16000,0.12040133779264214,143000
pythia-70m,wikitext,halfA,real,19,64000,0.3079710144927536,143000
pythia-70m,wikitext,halfA,real,19,143000,1.0,143000
pythia-70m,wikitext,halfA,real,20,0,0.01764705882352941,143000
pythia-70m,wikitext,halfA,real,20,1,0.01764705882352941,143000
pythia-70m,wikitext,halfA,real,20,4,0.0136986301369863,143000
pythia-70m,wikitext,halfA,real,20,16,0.01990049751243781,143000
pythia-70m,wikitext,halfA,real,20,64,0.017467248908296942,143000
pythia-70m,wikitext,halfA,real,20,256,0.03414634146341464,143000
pythia-70m,wikitext,halfA,real,20,1000,0.035897435897435895,143000
pythia-70m,wikitext,halfA,real,20,4000,0.07373271889400922,143000
pythia-70m,wikitext,halfA,real,20,16000,0.23163841807909605,143000
pythia-70m,wikitext,halfA,real,20,64000,0.4405594405594406,143000
